Name,Height,Reach,STANCE,DOB,ID,Hometown,Hometown_Elevation,Trains_Out_Of
Estefani Almeida,"5' 4""",--,Orthodox,"Oct 17, 1988",f16ddfa31236efed,"Manaus, Amazonas",45.5338249206543,Carioca Team Manaus
Jailton Almeida,"6' 3""","79""",Orthodox,"Jun 26, 1991",41e83a89929d1327,"Salvador, Bahia",37.99760818481445,Galpao da Luta
Lucas Almeida,"5' 11""","71""",Orthodox,"Jan 31, 1991",710f0f8c5d5c9d41,"Sorocaba, Sao Paulo",616.6074829101562,Team Kioshi
Cesar Almeida,"6' 1""","74""",Orthodox,"Mar 28, 1988",64d47ef881a437a4,"Sao Paulo, Sao Paulo",761.88525390625,Lotus MMA
Mauricio Alonso,"6' 2""",--,,"Feb 27, 1980",c6bf75775b278ed8,"Sao Paulo, Sao Paulo",761.88525390625,Combat Sports Academy
Sarah Alpar,"5' 4""","63""",Southpaw,"Jun 01, 1991",49b130de1da2e1bf,"Amarillo, Texas",1118.594848632812,American Elite MMA
Ali AlQaisi,"5' 6""","68""",Orthodox,"Sep 23, 1990",e87a13e02c01331d,Amman,865.2398681640625,Gladiator MMA
Rico Altamirano,"5' 10""",--,,--,c61b49cec6abd6b9,"Lodi, California",16.91663551330566,
Victor Altamirano,"5' 8""","70""",Switch,"Jan 23, 1991",dc7927cd622676a7,"Fort Worth, Texas",188.1802368164062,Double Five Mid Cities
Mike Altman,"5' 10""",--,Orthodox,--,c11036da9162cb5f,"Houston, Texas",14.5621976852417,
Patricia Alujas,"5' 4""","64""",Orthodox,"May 08, 1996",430c533614d45813,"Asuncion, Capital District",56.19084930419922,Evolucao Thai
Sean Alvarez,"6' 0""",--,Orthodox,"Jul 14, 1971",e741536153227386,New York,13.34827327728271,Renzo Gracie Jiu-Jitsu
Eddie Alvarez,"5' 9""","69""",Orthodox,"Jan 11, 1984",33a331684283900f,"Philadelphia, Pennsylvania",14.33572292327881,Ricardo Almeida Jiu-Jitsu
Jaime Alvarez,"5' 8""","69""",Orthodox,"Mar 08, 1988",4438482bd1d5a029,,,
Joel Alvarez,"6' 3""","77""",Orthodox,"Mar 02, 1993",58bbef3770bb2dfc,"Gijon, Asturias",12.63850212097168,Bandog Fight Club
Thiago Alves,"5' 9""","70""",Orthodox,"Oct 03, 1983",31ee470ef5dc8d7f,"Fortaleza, Ceara",28.06310272216797,American Top Team
Anthony Alves,--,--,,--,bd92cf5da5413d2a,,,
Amilcar Alves,"6' 0""",--,Southpaw,"Aug 08, 1988",dc5a6b2fdb27e7dc,"Rio de Janeiro, Rio de Janeiro",7.758727073669434,Nova Uniao
Warlley Alves,"5' 11""","72""",Orthodox,"Jan 04, 1991",d317a5e2b3f88c5f,"Governador Valadares, Minas Gerais",179.5938415527344,Rizzo RVT
Rafael Alves,"5' 8""","68""",Orthodox,"Nov 14, 1990",029afd138865d20a,,,
Sam Alvey,"6' 2""","75""",Southpaw,"May 06, 1986",d156513a19acf856,"Waterford, Wisconsin",237.2294464111328,Team Quest
Andre Amado,"6' 0""",--,Orthodox,--,20821819c401ced8,"Curitiba, Parana",898.2212524414062,Evolucao Thai
Adlan Amagov,"6' 2""","76""",Orthodox,"Oct 30, 1986",1e327b281ef6a745,Grozny,126.5825881958008,Jackson-Wink MMA
Maiara Amanajas dos Santos,"5' 5""",--,Southpaw,"Jul 11, 1987",247fbbfafea60bb1,"Macapa, Amapa",11.78280162811279,Frankiko Team
Rayanne Amanda,"5' 2""","62""",Orthodox,"Jun 08, 1995",02bb48869eb7ac8f,,,
Chris Amarante,--,--,,--,ee0b69e307c857e5,California,145.0107269287109,
Jimmy Ambriz,"6' 2""",--,Southpaw,"Jan 26, 1970",c912f676692c353a,"Santa Ana, California",34.06098175048828,
JJ Ambrose,"5' 10""",--,Orthodox,--,d562b12b8fe88336,,,
Alen Amedovski,"5' 10""","74""",Orthodox,"Apr 06, 1988",70fa1c64a2c439ef,Zentar Zupa,741.0283813476562,American Top Team Rome
Hyder Amil,"5' 9""","70""",Switch,"May 28, 1990",41cc71cbf210e0fe,"Vallejo, California",20.85063743591309,El Nino Training Center
Makwan Amirkhani,"5' 10""","72""",Southpaw,"Nov 08, 1988",87a1dc546b1c5caf,Turku,7.964982986450195,SBG Ireland
Jaqueline Amorim,"5' 3""","68""",Orthodox,"Jun 24, 1995",bc7d1ad49fcb2d08,"Manaus, Amazonas",45.5338249206543,American Top Team
Bertrand Amoussou,"5' 8""",--,Orthodox,--,53adf5b845d91e4a,,,
Karl Amoussou,"5' 11""",--,Orthodox,"Nov 21, 1985",23a8c33869bf5392,Paris,32.53561782836914,New Nation
Eryk Anders,"6' 1""","75""",Southpaw,"Apr 21, 1987",cad24459b28592ca,"Birmingham, Alabama",183.2211456298828,Fight Ready MMA
Matt Andersen,"6' 2""",--,Southpaw,"May 29, 1971",8738eacd62e82a32,"Omaha, Nebraska",316.9642944335938,
Andy Anderson,"5' 6""",--,,"Jul 16, 1974",9199e0735b83dd32,"Arlington, Texas",184.8349151611328,
Lowell Anderson,"5' 6""",--,Orthodox,--,1ffc38f67785797b,"Fairfield, Idaho",1543.4931640625,Gracie Jiu-Jitsu
Corey Anderson,"6' 3""","79""",Orthodox,"Sep 22, 1989",5e4eec08896c9423,"Rockton, Illinois",224.8069915771484,The Kennel Fight Club
Derek Anderson,"6' 0""",--,,"Feb 02, 1990",19ba965651486013,"San Diego, California",15.22877025604248,Team Xplode MMA
Megan Anderson,"6' 0""","72""",Orthodox,"Feb 11, 1990",a0e75f4a13eb73f1,"Gold Coast, Queensland",1.248871922492981,Glory MMA & Fitness
Tatsuya Ando,--,--,,"Apr 26, 1990",17615148dd4be6f6,"Suginami, Tokyo",45.12646102905273,Freelance
Alex Andrade,"5' 11""",--,Orthodox,"May 14, 1974",1562b12763cc8d67,"Laredo, Texas",129.2347869873047,Lion's Den
Jessica Andrade,"5' 1""","62""",Orthodox,"Sep 25, 1991",6a1901c62ab3870f,"Umuarama, Parana",442.8329772949219,Parana Vale Tudo
Viscardi Andrade,"5' 11""","75""",Orthodox,"Mar 08, 1984",d221ee27afc7a60e,"Jales, Sao Paulo",486.4949645996094,Gracie Fusion
Jermaine Andre,"5' 7""",--,Orthodox,--,9bad58fa651d6196,"Collinville, Illinois",171.90673828125,
Juan Andres Luna,"5' 7""","72""",Orthodox,"Aug 20, 1995",1fd9f744105024a8,,,
Fellipe Andrew,--,--,,"Oct 24, 1994",7977fb0fd9c5955d,,,
Dylan Andrews,"6' 1""","74""",Switch,"Nov 15, 1979",00debc804e2b1cd4,,,Heartbreak Conditioning
Reese Andy,"6' 0""",--,Orthodox,"Mar 31, 1973",46e2ca71fd5089cb,"Auburn, Washington",25.8408203125,West Coast Fight Team
Angga,"5' 7""","68""",Orthodox,"Jan 13, 1989",d6a3e131ad4ba064,"Sukabumi, West Java",577.2111206054688,Onfire Indonesia
Julius Anglickas,"6' 3""",--,Orthodox,"Jul 23, 1991",e20ad078a7d63361,Plunge,,St. Charles MMA
Collin Anglin,"5' 9""","71""",Orthodox,"Feb 20, 1993",047a91d3d9c79b05,"South Lyon, Michigan",282.046630859375,Scorpion Fighting System
Chad Anheliger,"5' 6""","64""",Orthodox,"Dec 01, 1986",c7c39e2fb70248b3,"Consort, Alberta",745.6270751953125,Champion's Creed MMA
Yoji Anjo,"5' 11""",--,Orthodox,"Mar 28, 1967",e06fd1260ac865a7,"Suginami, Tokyo",45.12646102905273,Team Kingdom
Magomed Ankalaev,"6' 3""","75""",Orthodox,"Jun 02, 1992",d802174b0c0c1f4e,"Makhachkala, Dagestan",-4.028912544250488,Gorets Fight Team
Gadzhimurad Antigulov,"5' 11""","70""",Orthodox,"Feb 09, 1987",af997f7611673880,"Makhachkala, Dagestan",-4.028912544250488,American Top Team
Adam Antolin,"5' 5""","63""",Orthodox,"Feb 28, 1982",25b31165758402dd,"San Jose, California",24.67866325378418,American Kickboxing Academy
Angelo Antonio,--,--,Orthodox,--,dbd198f780286aca,Rio de Janeiro,7.758727073669434,
Azunna Anyanwu,"6' 1""",--,Orthodox,"Aug 05, 1981",78d48d3874dacafd,"Philadelphia, Pennsylvania",14.33572292327881,Renzo Gracie Philly
Shinsho Anzai,"5' 7""","70""",Orthodox,"Dec 01, 1985",4665f9f909cd7214,"Ogose, Saitama",78.384521484375,Team Climb
Shinya Aoki,"5' 11""",--,Southpaw,"May 09, 1983",79ded75550efc139,"Shizuoka, Shizuoka",23.55754852294922,Paraestra Tokyo
Aoriqileng,"5' 7""","69""",Orthodox,"Jun 25, 1993",7d420039bbfe7c1a,,,
Josh Appelt,"5' 10""",--,Southpaw,"Jun 19, 1983",0c1a04afca64e38f,"Olivehurst, California",18.95602226257324,Team Alpha Male
Erik Apple,"6' 0""",--,Orthodox,"Aug 26, 1977",1ccff7f0cfdf85eb,"Laguna Niguel, California",91.75387573242188,Kings MMA
Kenji Arai,"5' 10""",--,Southpaw,"Oct 05, 1979",269d103c96a4c3a5,"Fukumitsu, Toyama",83.23478698730469,PANCRASEism
Romie Aram,"5' 10""",--,Orthodox,"Dec 02, 1977",73ef22f25d0f70e2,"Ontario, California",304.1049194335938,Millennia MMA
Felipe Arantes,"5' 8""","73""",Orthodox,"Feb 09, 1988",71002dbc1743b9a7,"Sao Paulo, Sao Paulo",761.88525390625,Chute Boxe Diego Lima
Igor Araujo,"6' 1""","77""",Orthodox,"Dec 06, 1980",dbea8c1cb327ab3d,"Brasilia, Federal District",1114.345825195312,Jackson-Wink MMA
Viviane Araujo,"5' 4""","68""",Orthodox,"Nov 21, 1986",36541f1e6c5d4955,"Ceilandia, Federal District",1256.405883789062,Cerrado MMA
Julio Arce,"5' 7""","70""",Southpaw,"Oct 27, 1989",1291edf2d566a71a,"Queens, New York",18.09424209594727,Team Tiger Schulmann
Art Arciniega,"5' 8""",--,,"Oct 15, 1981",d25e39e74efb0a77,"Dos Palos, California",34.0540771484375,Pacific Martial Arts
Tristan Arenal,--,--,,--,9c9455912d917e4e,"Milpitas, California",6.844115257263184,Unlimited MMA
Gabriel Arges,--,--,,"Jan 29, 1993",db3c4a884d704efe,,,
Dan Argueta,"5' 7""","68""",Southpaw,"Aug 13, 1993",e4ba58725825412d,"Albuquerque, New Mexico",1509.996826171875,Jackson-Wink MMA
Reza Arianto,--,--,,--,90063913321e7670,,,
Hashem Arkhagha,"6' 2""","75""",Orthodox,"Sep 11, 1989",9a7ffa80766caa51,Amman,865.2398681640625,K Dojo Warrior Tribe
Andrei Arlovski,"6' 3""","77""",Orthodox,"Feb 04, 1979",3738e68d2261e60f,Minsk,211.8425750732422,American Top Team
Garrett Armfield,"5' 6""","70""",Orthodox,"Oct 09, 1996",1effd880e1f1bb30,"Springfield, Missouri",398.2706909179688,Springfield Fight Club
Joey Armstrong,--,--,,--,30ad2050273d016a,,,
Austin Arnett,"6' 0""","72""",Orthodox,"Oct 22, 1991",bf0e700106d00e55,"Clarkston, Washington",245.534423828125,Sikjitsu
Ricardo Arona,"5' 11""",--,Orthodox,"Jul 17, 1978",05fbfe628658c538,,,Brazilian Top Team
Eli Aronov,"5' 10""","72""",Orthodox,"Jun 06, 1996",a90c200c3fbb22c4,Arad,106,
Chalid Arrab,"5' 11""",--,Orthodox,"May 28, 1975",770b9d4813c25902,"Frechen, North Rhine-Westphalia",73.28877258300781,Golden Glory
Akbarh Arreola,"5' 10""","71""",Southpaw,"Jan 14, 1983",c136b2a8852da5bd,"Tijuana, Baja California",110.0424346923828,Entram Gym
Matt Arroyo,"5' 10""","72""",Orthodox,"Sep 01, 1982",de62052b2ede65ba,"Cobleskill, New York",280.7690124511719,Gracie Tampa South
Antonio Arroyo,"6' 3""","73""",Orthodox,"Jul 01, 1989",61fb8098ccf81c7f,"Belem, Para",1.740754961967468,Team Figueiredo
Gilles Arsene,"5' 9""",--,Southpaw,--,2dea80c069847321,Paris,32.53561782836914,
Veta Arteaga,"5' 7""",--,,--,91e3388e69060e69,"Boise, Idaho",822.4027099609375,Combat Fitness
Cesar Arzamendia,"5' 11""",--,Orthodox,"Jan 31, 1991",49f78022126bf4a4,"Asuncion, Capital District",56.19084930419922,Paraguay Combat Team
Teddy Ash,"6' 1""","73""",Switch,"Dec 27, 1989",a373085066dbfb54,"Fort McMurray, Alberta",251,Shaved Bears MMA
Arman Ashimov,"5' 6""",--,,"Jan 14, 1992",d26a0988c9dc9886,Almaty,814.3106079101562,Golden Shisha Fight Club
Yanal Ashmouz,"5' 9""","68""",Orthodox,"Mar 31, 1995",c739c2995a275314,,,
Asjabharan,"5' 6""",--,,"Jul 31, 1992",8be9deb7d6b36354,,,
Askar Askar,"5' 7""","69""",Orthodox,"Aug 19, 1994",2abc414136504554,"Orlando Park, Illinois",214.6975708007812,Midwest Training Center
Askar Askarov,"5' 6""","67""",Orthodox,"Oct 09, 1992",b1d19449397541dc,"Khasavyurt, Dagestan",124.1592102050781,Fighting Eagle
Cyril Asker,"6' 0""","74""",Orthodox,"Dec 24, 1985",9be6020024133293,"Avignon, Vaucluse",26.18618392944336,Bushido Academie
Khusein Askhabov,"5' 8""","69""",Orthodox,"Feb 13, 1995",5c10da56d712ac9c,"Grozny, Chechnya",126.5825881958008,American Top Team
Scott Askham,"6' 3""","75""",Southpaw,"May 20, 1988",06827d70c53ff0d9,"Doncaster, South Yorkshire",22.60950660705566,American Top Team
Ben Askren,"5' 11""","73""",Orthodox,"Jul 18, 1984",0b31f87be71ebbb1,"Phoenix, Arizona",331.523681640625,Roufusport
Ibo Aslan,"6' 3""","77""",Orthodox,"Apr 23, 1996",6e8f1bcdda94ff45,Vienna,173.3871917724609,Gym 23
Tom Aspinall,"6' 5""","78""",Orthodox,"Apr 11, 1993",399afbabc02376b5,"Salford, Lancashire",43.84690475463867,Team Kaobon
Bruno Assis,"6' 2""",--,Orthodox,"May 23, 1992",ff222167cce02919,"Belo Horizonte, Minas Gerais",854.6533813476562,BH Rhinos
Junior Assuncao,"5' 9""","72""",Orthodox,"Jun 24, 1981",d0d7160824278840,,,Ascension MMA
Raphael Assuncao,"5' 5""","66""",Orthodox,"Jul 19, 1982",2f13e4020cea5b38,"Recife, Pernambuco",1.752393007278442,Xtreme Couture
Bazigit Atajev,"6' 1""",--,Orthodox,--,fd7acf42bd6e7e95,,,
Rich Attonito,"5' 10""","72""",Orthodox,"Jun 16, 1977",210935fd21670f6d,"Deerfield Beach, Florida",3.611646413803101,American Top Team
Olivier Aubin-Mercier,"5' 9""","70""",Southpaw,"Feb 23, 1989",55ee431411ccf07a,"Boucherville, Quebec",18.31579208374023,H2O MMA
Pat Audinwood,"6' 0""",--,Orthodox,"Apr 16, 1986",196ed28337adc630,"Cortland, New York",341.7506103515625,Team Bombsquad
Jose Augusto,"6' 3""",--,,"Mar 28, 1992",4d3b08ab127c7585,,,Team T3
Marcus Aurelio,"5' 10""","74""",Orthodox,"Aug 18, 1973",04643fd03d9159cc,"Fortaleza, Ceara",28.06310272216797,Elite Mixed Fighters
David Avellan,"5' 9""",--,Orthodox,--,956dcac65e7b34d6,Florida,29.71612358093262,
Blas Avena,"6' 0""","74""",Orthodox,"Jun 30, 1983",8753e125f4499816,"Las Vegas, Nevada",611.1598510742188,Machado Jiu Jitsu
Levi Avera,"6' 1""",--,,"May 17, 1982",ba5c6eeb8ef45f5c,"Tulsa, Oklahoma",219.2913665771484,Team Nogueira Tulsa
Anthony Avila,"5' 7""",--,,"Dec 29, 1988",033d19259f589457,"Lemoore, California",64.46896362304688,Team Alpha Male
Chris Avila,"5' 10""",--,Orthodox,"Jan 16, 1993",4665cbf36b08193b,"Lodi, California",16.91663551330566,Cesar Gracie Fight Team
