Name,Height,Reach,Stance,DOB,ID
Rostem Akman,"5' 10""","72""",Switch,"Dec 19, 1991",1fc64507a0cb38cf
Razak Al-Hassan,"6' 2""",--,Orthodox,"May 14, 1982",38b50fd1e1b5b656
Abdul-Kareem Al-Selwady,"5' 8""","69""",Orthodox,"Apr 10, 1995",597499ac7a5aac62
Mostapha Al-Turk,"6' 2""","77""",Orthodox,"Jul 14, 1973",1cf1310684a841f5
Herdem Alacabek,"6' 2""","75""",Orthodox,"Jun 07, 1991",7578cc6bd750206b
Javi Alanis,"5' 6""",--,,--,2144954270be834d
Alatengheili,"5' 5""","66""",Orthodox,"Dec 14, 1991",1897b7b913736a7c
Amir Albazi,"5' 5""","68""",Orthodox,"Oct 27, 1993",6d35bf94f7d30241
Brett Albee,--,--,,--,9b28292abe3166d5
John Albert,"5' 8""","68""",Orthodox,"Oct 13, 1986",7bd94b60d7521e4a
Junior Albini,"6' 3""","74""",Orthodox,"Mar 15, 1991",c482c8605455a213
Wes Albritton,"5' 10""",--,Orthodox,--,184b955181bdef52
Aleksandra Albu,"5' 2""","63""",Orthodox,"Jul 14, 1990",e76d9f656ceb82ab
Israel Albuquerque,--,--,Orthodox,--,dd1b90eea08887f6
Juan Alcain,--,--,,--,39f62b833e4cf126
Iuri Alcantara,"5' 9""","71""",Southpaw,"Aug 04, 1980",2f95a3c6d58b2aad
Ildemar Alcantara,"6' 2""","78""",Orthodox,"Nov 18, 1982",7c6e87729e824ef4
Alfonso Alcarez,"5' 3""",--,,"Jun 10, 1970",1e38bba6738b7b10
Gilbert Aldana,"6' 1""",--,Orthodox,"Aug 25, 1977",d26934530dc5b248
Irene Aldana,"5' 9""","68""",Orthodox,"Mar 26, 1988",578ef12674df1e6a
Hector Aldana,"5' 11""","72""",Orthodox,"Aug 17, 1988",c487223b0289bda9
Jose Alday,"5' 7""","68""",Orthodox,"Sep 14, 1991",7460ddef986d3144
Jose Aldo,"5' 7""","70""",Orthodox,"Sep 09, 1986",d0f3959b4a9747e6
JJ Aldrich,"5' 5""","67""",Southpaw,"Sep 29, 1992",6fd953151d981979
Irina Alekseeva,"5' 8""","67""",Orthodox,"Jun 27, 1990",103e2e33a60683e1
Talita Alencar,--,--,,"Oct 17, 1990",d35298b6df168456
Jim Alers,"5' 9""","71""",Orthodox,"Oct 14, 1986",fe5a9547479396ab
John Alessio,"5' 10""","72""",Orthodox,"Jul 05, 1979",7a15f3694c5cbc02
Houston Alexander,"6' 0""","72""",Orthodox,"Mar 22, 1972",0541480fbf719d86
Kenneth Alexander,"5' 9""",--,Orthodox,"Sep 25, 1977",8fd76e1b49c00ae2
Lucas Alexander,"5' 11""","73""",Orthodox,"Jul 28, 1995",11583163f45c7b31
Marcio Alexandre Junior,"6' 0""","75""",Southpaw,"May 05, 1989",d53482bef23235ba
Olaf Alfonso,"6' 2""",--,Orthodox,"Aug 06, 1974",b757c73f443d4fca
Pablo Alfonso,"5' 8""",--,,"May 09, 1983",4b37a0bc2ab4cae1
Levi Alford,--,--,,--,41b34b7f11f6d085
Bill Algeo,"6' 0""","73""",Switch,"Jun 09, 1989",9abc648e76c4493a
Royce Alger,"5' 10""",--,Orthodox,--,669a3cb6e394f515
Amir Aliakbari,"6' 3""",--,,"Jun 10, 1984",e17770faae3ca54c
Sultan Aliev,"5' 11""","74""",Orthodox,"Sep 17, 1984",e70de1859b7ee78e
Nurullo Aliev,"5' 10""","72""",Orthodox,"Dec 08, 2000",ca28cdf526d6b6e9
Ikram Aliskerov,"6' 0""","76""",Southpaw,"Dec 07, 1992",b07aed698fba8624
Leon Aliu,"6' 0""","74""",Orthodox,"Jul 14, 1989",6db394bf6c3b017c
John Allan,"6' 1""","75""",Orthodox,"Feb 22, 1993",6ebe96a116e79e52
George Allen,"6' 2""",--,Open Stance,"Jan 13, 1967",1e13936d708bcff7
Arnold Allen,"5' 8""","70""",Southpaw,"Jan 22, 1994",040a74bb0a465c54
Brendan Allen,"6' 2""","75""",Orthodox,"Dec 28, 1995",2f181c0467965b98
Dan Allen,--,--,,"Aug 10, 1992",adf9a901308fb8e3
Ben Alloway,"5' 11""","76""",Orthodox,"Feb 19, 1981",c4fe2e9a06ea5bcb
Assu Almabayev,"5' 4""","65""",Orthodox,"Jan 25, 1994",8d3273573b85be09
Ricardo Almeida,"6' 0""","74""",Orthodox,"Nov 29, 1976",91186547a7f3f758
Magno Almeida,"6' 0""",--,,"Jun 06, 1985",d615d6a10a4704cd
Thomas Almeida,"5' 7""","70""",Southpaw,"Jul 31, 1991",2b074403b7c6cdb4
Ericka Almeida,"5' 6""",--,Orthodox,"Mar 05, 1989",67a992d4cff22466
Estefani Almeida,"5' 4""",--,Orthodox,"Oct 17, 1988",f16ddfa31236efed
Jailton Almeida,"6' 3""","79""",Orthodox,"Jun 26, 1991",41e83a89929d1327
Lucas Almeida,"5' 11""","71""",Orthodox,"Jan 31, 1991",710f0f8c5d5c9d41
Cesar Almeida,"6' 1""","74""",Orthodox,"Mar 23, 1988",64d47ef881a437a4
Mauricio Alonso,"6' 2""",--,,"Feb 27, 1980",c6bf75775b278ed8
Sarah Alpar,"5' 4""","63""",Southpaw,"Jun 01, 1991",49b130de1da2e1bf
Ali AlQaisi,"5' 6""","68""",Orthodox,"Sep 23, 1990",e87a13e02c01331d
Rico Altamirano,"5' 10""",--,,--,c61b49cec6abd6b9
Victor Altamirano,"5' 8""","70""",Switch,"Jan 23, 1991",dc7927cd622676a7
Mike Altman,"5' 10""",--,Orthodox,--,c11036da9162cb5f
Patricia Alujas,--,--,,--,430c533614d45813
Sean Alvarez,"6' 0""",--,Orthodox,"Jul 14, 1971",e741536153227386
Eddie Alvarez,"5' 9""","69""",Orthodox,"Jan 11, 1984",33a331684283900f
Jaime Alvarez,"5' 8""","69""",Orthodox,"Mar 08, 1988",4438482bd1d5a029
Joel Alvarez,"6' 3""","77""",Orthodox,"Mar 02, 1993",58bbef3770bb2dfc
Thiago Alves,"5' 9""","70""",Orthodox,"Oct 03, 1983",31ee470ef5dc8d7f
Anthony Alves,--,--,,--,bd92cf5da5413d2a
Amilcar Alves,"6' 0""",--,Southpaw,"Aug 08, 1988",dc5a6b2fdb27e7dc
Warlley Alves,"5' 11""","72""",Orthodox,"Jan 04, 1991",d317a5e2b3f88c5f
Rafael Alves,"5' 8""","68""",Orthodox,"Nov 14, 1990",029afd138865d20a
Sam Alvey,"6' 2""","75""",Southpaw,"May 06, 1986",d156513a19acf856
Andre Amado,"6' 0""",--,Orthodox,--,20821819c401ced8
Adlan Amagov,"6' 2""","76""",Orthodox,"Oct 30, 1986",1e327b281ef6a745
Maiara Amanajas dos Santos,"5' 5""",--,Southpaw,"Jul 11, 1987",247fbbfafea60bb1
Rayanne Amanda,"5' 2""","62""",Orthodox,"Jun 08, 1995",02bb48869eb7ac8f
Chris Amarante,--,--,,--,ee0b69e307c857e5
Jimmy Ambriz,"6' 2""",--,Southpaw,"Jan 26, 1970",c912f676692c353a
JJ Ambrose,"5' 10""",--,Orthodox,--,d562b12b8fe88336
Alen Amedovski,"5' 10""","74""",Orthodox,"Apr 06, 1988",70fa1c64a2c439ef
Hyder Amil,"5' 9""","70""",Switch,"May 28, 1990",41cc71cbf210e0fe
Makwan Amirkhani,"5' 10""","72""",Southpaw,"Nov 08, 1988",87a1dc546b1c5caf
Jaqueline Amorim,"5' 3""","68""",Orthodox,"Jun 24, 1995",bc7d1ad49fcb2d08
Bertrand Amoussou,"5' 8""",--,Orthodox,--,53adf5b845d91e4a
Karl Amoussou,"5' 11""",--,Orthodox,"Nov 21, 1985",23a8c33869bf5392
Eryk Anders,"6' 1""","75""",Southpaw,"Apr 21, 1987",cad24459b28592ca
Matt Andersen,"6' 2""",--,Southpaw,"May 29, 1971",8738eacd62e82a32
Andy Anderson,"5' 6""",--,,"Jul 16, 1974",9199e0735b83dd32
Lowell Anderson,"5' 6""",--,Orthodox,--,1ffc38f67785797b
Corey Anderson,"6' 3""","79""",Orthodox,"Sep 22, 1989",5e4eec08896c9423
Derek Anderson,"6' 0""",--,,"Feb 02, 1990",19ba965651486013
Megan Anderson,"6' 0""","72""",Orthodox,"Feb 11, 1990",a0e75f4a13eb73f1
Tatsuya Ando,--,--,,"Apr 26, 1990",17615148dd4be6f6
Alex Andrade,"5' 11""",--,Orthodox,"May 14, 1974",1562b12763cc8d67
Jessica Andrade,"5' 1""","62""",Orthodox,"Sep 25, 1991",6a1901c62ab3870f
Viscardi Andrade,"5' 11""","75""",Orthodox,"Mar 08, 1984",d221ee27afc7a60e
Jermaine Andre,"5' 7""",--,Orthodox,--,9bad58fa651d6196
Juan Andres Luna,"5' 7""","72""",Orthodox,"Aug 20, 1995",1fd9f744105024a8
Fellipe Andrew,--,--,,"Oct 24, 1994",7977fb0fd9c5955d
Dylan Andrews,"6' 1""","74""",Switch,"Nov 15, 1979",00debc804e2b1cd4
Reese Andy,"6' 0""",--,Orthodox,"Mar 31, 1973",46e2ca71fd5089cb
Angga,"5' 7""","68""",Orthodox,"Jan 13, 1989",d6a3e131ad4ba064
Julius Anglickas,"6' 3""",--,Orthodox,"Jul 23, 1991",e20ad078a7d63361
Collin Anglin,"5' 9""","71""",Orthodox,"Feb 20, 1993",047a91d3d9c79b05
Chad Anheliger,"5' 6""","64""",Orthodox,"Dec 01, 1986",c7c39e2fb70248b3
Yoji Anjo,"5' 11""",--,Orthodox,"Mar 28, 1967",e06fd1260ac865a7
Magomed Ankalaev,"6' 3""","75""",Orthodox,"Jun 02, 1992",d802174b0c0c1f4e
Gadzhimurad Antigulov,"5' 11""","70""",Orthodox,"Feb 09, 1987",af997f7611673880
Adam Antolin,"5' 5""","63""",Orthodox,"Feb 28, 1982",25b31165758402dd
Angelo Antonio,--,--,Orthodox,--,dbd198f780286aca
Azunna Anyanwu,"6' 1""",--,Orthodox,"Aug 05, 1981",78d48d3874dacafd
Shinsho Anzai,"5' 7""","70""",Orthodox,"Dec 01, 1985",4665f9f909cd7214
Shinya Aoki,"5' 11""",--,Southpaw,"May 09, 1983",79ded75550efc139
Aoriqileng,"5' 7""","69""",Orthodox,"Jun 25, 1993",7d420039bbfe7c1a
Josh Appelt,"5' 10""",--,Southpaw,"Jun 19, 1983",0c1a04afca64e38f
Erik Apple,"6' 0""",--,Orthodox,"Aug 26, 1977",1ccff7f0cfdf85eb
Kenji Arai,"5' 10""",--,Southpaw,"Oct 05, 1979",269d103c96a4c3a5
Romie Aram,"5' 10""",--,Orthodox,"Dec 02, 1977",73ef22f25d0f70e2
Felipe Arantes,"5' 8""","73""",Orthodox,"Feb 09, 1988",71002dbc1743b9a7
Igor Araujo,"6' 1""","77""",Orthodox,"Dec 06, 1980",dbea8c1cb327ab3d
Viviane Araujo,"5' 4""","68""",Orthodox,"Nov 21, 1986",36541f1e6c5d4955
Julio Arce,"5' 7""","70""",Southpaw,"Oct 27, 1989",1291edf2d566a71a
Art Arciniega,"5' 8""",--,,"Oct 15, 1981",d25e39e74efb0a77
Tristan Arenal,--,--,,--,9c9455912d917e4e
Gabriel Arges,--,--,,"Jan 29, 1993",db3c4a884d704efe
Dan Argueta,"5' 7""","68""",Southpaw,"Aug 13, 1993",e4ba58725825412d
Reza Arianto,--,--,,--,90063913321e7670
Hashem Arkhagha,"6' 2""","75""",Orthodox,"Sep 11, 1989",9a7ffa80766caa51
Andrei Arlovski,"6' 3""","77""",Orthodox,"Feb 04, 1979",3738e68d2261e60f
Garrett Armfield,"5' 6""","70""",Orthodox,"Oct 09, 1996",1effd880e1f1bb30
Joey Armstrong,--,--,,--,30ad2050273d016a
Austin Arnett,"6' 0""","72""",Orthodox,"Oct 22, 1991",bf0e700106d00e55
Ricardo Arona,"5' 11""",--,Orthodox,"Jul 17, 1978",05fbfe628658c538
Eli Aronov,"5' 10""","72""",Orthodox,"Jun 06, 1996",a90c200c3fbb22c4
Chalid Arrab,"5' 11""",--,Orthodox,"May 28, 1975",770b9d4813c25902
Akbarh Arreola,"5' 10""","71""",Southpaw,"Jan 14, 1983",c136b2a8852da5bd
Matt Arroyo,"5' 10""","72""",Orthodox,"Sep 01, 1982",de62052b2ede65ba
Antonio Arroyo,"6' 3""","73""",Orthodox,"Jul 01, 1989",61fb8098ccf81c7f
Gilles Arsene,"5' 9""",--,Southpaw,--,2dea80c069847321
Veta Arteaga,"5' 7""",--,,--,91e3388e69060e69
Cesar Arzamendia,"5' 11""",--,Orthodox,"Jan 31, 1991",49f78022126bf4a4
Teddy Ash,"6' 1""","73""",Switch,"Dec 27, 1989",a373085066dbfb54
Arman Ashimov,"5' 6""",--,,"Jan 14, 1992",d26a0988c9dc9886
Yanal Ashmouz,"5' 9""","68""",Orthodox,"Mar 31, 1995",c739c2995a275314
Asjabharan,"5' 6""",--,,"Jul 31, 1992",8be9deb7d6b36354
Askar Askar,"5' 7""","69""",Orthodox,"Aug 19, 1994",2abc414136504554
Askar Askarov,"5' 6""","67""",Orthodox,"Oct 09, 1992",b1d19449397541dc
Cyril Asker,"6' 0""","74""",Orthodox,"Dec 24, 1985",9be6020024133293
Khusein Askhabov,"5' 8""","69""",Orthodox,"Feb 13, 1995",5c10da56d712ac9c
Scott Askham,"6' 3""","75""",Southpaw,"May 20, 1988",06827d70c53ff0d9
Ben Askren,"5' 11""","73""",Orthodox,"Jul 18, 1984",0b31f87be71ebbb1
Ibo Aslan,"6' 3""","77""",Orthodox,"Apr 23, 1996",6e8f1bcdda94ff45
Tom Aspinall,"6' 5""","78""",Orthodox,"Apr 11, 1993",399afbabc02376b5
Bruno Assis,"6' 2""",--,Orthodox,"May 23, 1992",ff222167cce02919
Junior Assuncao,"5' 9""","72""",Orthodox,"Jun 24, 1981",d0d7160824278840
Raphael Assuncao,"5' 5""","66""",Orthodox,"Jul 19, 1982",2f13e4020cea5b38
Bazigit Atajev,"6' 1""",--,Orthodox,--,fd7acf42bd6e7e95
Rich Attonito,"5' 10""","72""",Orthodox,"Jun 16, 1977",210935fd21670f6d
Olivier Aubin-Mercier,"5' 9""","70""",Southpaw,"Feb 23, 1989",55ee431411ccf07a
Pat Audinwood,"6' 0""",--,Orthodox,"Apr 16, 1986",196ed28337adc630
Jose Augusto,"6' 3""",--,,"Mar 28, 1992",4d3b08ab127c7585
Marcus Aurelio,"5' 10""","74""",Orthodox,"Aug 18, 1973",04643fd03d9159cc
David Avellan,"5' 9""",--,Orthodox,--,956dcac65e7b34d6
Blas Avena,"6' 0""","74""",Orthodox,"Jun 30, 1983",8753e125f4499816
Levi Avera,"6' 1""",--,,"May 17, 1982",ba5c6eeb8ef45f5c
Anthony Avila,"5' 7""",--,,"Dec 29, 1988",033d19259f589457
Chris Avila,"5' 10""",--,Orthodox,"Jan 16, 1993",4665cbf36b08193b
Julia Avila,"5' 7""","68""",Orthodox,"May 11, 1988",86d9dbe1bfcbade7
Saad Awad,"5' 11""",--,,"Jun 07, 1983",da603332ad41f165
Javy Ayala,"6' 1""",--,,"Aug 20, 1988",26387c19f32dda0f
Jessin Ayari,"6' 0""","73""",Orthodox,"May 31, 1992",6eaec40f724852f4
Abu Azaitar,"5' 9""","76""",Orthodox,"Mar 10, 1986",46d0a888d87d91ac
Ottman Azaitar,"5' 8""","71""",Switch,"Feb 20, 1990",ee18ff42063174df
Luiz Azeredo,"5' 9""",--,Orthodox,"Jun 10, 1976",063649e21bc9d6d5
Luciano Azevedo,"6' 3""",--,Orthodox,"Jun 25, 1981",9bcfb40dbcd50568
Hunter Azure,"5' 8""","69""",Orthodox,"Mar 02, 1992",2af2f2e26c4c0402
Niklas Backstrom,"6' 1""",--,Orthodox,"Aug 22, 1989",39cc64bf0a269db9
Seth Baczynski,"6' 3""","75""",Orthodox,"Oct 26, 1981",fd5b6598a3b70c0a
Abdul Azeem Badakhshi,--,--,,--,968764372c49eab6
Ryan Bader,"6' 2""","74""",Orthodox,"Jun 07, 1983",c0ab242c40decc55
Izabela Badurek,"5' 5""",--,Orthodox,"Jul 11, 1991",4fcf6e0c4e0e6664
Miguel Baeza,"6' 2""","74""",Orthodox,"Aug 23, 1992",82d4c957649faf9b
Ali Bagautinov,"5' 4""","65""",Orthodox,"Jun 10, 1985",3dd92ff9fb0412b3
Mehdi Baghdad,"6' 1""",--,Orthodox,"Apr 13, 1985",e4d2564ea0e34e2b
Melsik Baghdasaryan,"5' 9""","70""",Southpaw,"Jan 28, 1992",a52bc1e62cf0b7c6
Siyar Bahadurzada,"5' 11""","73""",Orthodox,"Apr 17, 1984",aec185309b4843d0
Ignacio Bahamondes,"6' 3""","75""",Orthodox,"Aug 27, 1997",e4a47b07044ddd72
Bahatebole Batebolati,"5' 11""","71""",Southpaw,"Sep 12, 1997",8f313e9c3a39c06e
Shamar Bailey,"5' 9""","75""",Southpaw,"Sep 22, 1982",e2b8186b618b00c4
Jordan Bailey,"5' 9""",--,,--,34dbcd4dbaf21a36
Scott Baker,"6' 0""",--,,--,7d5b12de1625984e
Bryan Baker,"6' 3""",--,Orthodox,"Oct 13, 1985",898337ef520fe4d3
Jin Bala,"5' 9""",--,,--,371efa53bd0cf669
Balajin,"5' 9""","72""",Orthodox,"Mar 31, 1992",e626e92a8f2a9737
Oluwale Bamgbose,"5' 11""","78""",Switch,"Aug 04, 1987",04b39f4e8eb59d7c
Stephen Banaszak,"6' 0""",--,,"Dec 07, 1990",4c4b44e3cf5815b3
Marcin Bandel,"5' 10""",--,Orthodox,"Oct 10, 1989",5c2ce761399dc9c5
Humberto Bandenay,"5' 11""","71""",Southpaw,"Sep 04, 1994",2c2caf2f2bab9df5
Tae Hyun Bang,"5' 9""","71""",Switch,"Apr 15, 1983",9a2d3567abc02e34
Yohan Banks,--,--,,--,c50ea21fe9ef478d
Shauna Bannon,"5' 5""","65""",Switch,"Oct 23, 1993",9c442aaf149ea982
Antonio Banuelos,"5' 5""","63""",Orthodox,"Sep 23, 1979",9ddfb3369a3b0394
Renan Barao,"5' 6""","70""",Orthodox,"Jan 31, 1987",2c99576fefe53c7c
Junior Barata,"5' 10""",--,Orthodox,"Jan 25, 1982",06dced58ca24a6bd
Maycee Barber,"5' 5""","65""",Switch,"May 18, 1998",6a740daf1b279661
Bryan Barberena,"6' 0""","72""",Southpaw,"May 03, 1989",a331233f597090a5
Dione Barbosa,"5' 6""","66""",Orthodox,"May 08, 1992",27b388f0aab49780
Edson Barboza,"5' 11""","75""",Orthodox,"Jan 21, 1986",64a50dad704d1d49
Raoni Barcelos,"5' 7""","67""",Orthodox,"May 01, 1987",b9f28e7045fdfce7
Daniel Barez,"5' 6""","66""",Orthodox,"Dec 10, 1988",e8fe9c15d348e778
Danny Barlow,--,--,,--,b7c5eb7cdbac6a63
Luke Barnatt,"6' 6""","77""",Orthodox,"Apr 13, 1988",172c2135e70f87b7
James Barnes,"5' 8""","71""",Orthodox,"May 28, 1982",c06a5c95f1169c0b
Nick Barnes,"5' 11""",--,,--,78a5eea49638685d
Shonte Barnes,"5' 11""","76""",Southpaw,"Feb 09, 1987",e575b6ff678c1aca
Josh Barnett,"6' 3""","78""",Orthodox,"Nov 10, 1977",ad3f53c454cbbead
Chris Barnett,"5' 9""","75""",Orthodox,"Jun 14, 1986",7a5e8c94a86f9895
Chris Barnhizer,--,--,,--,91e69a1c3c87325b
David Baron,"5' 6""",--,Switch,"Feb 15, 1973",80c0bed43da0e27b
Phil Baroni,"5' 9""","72""",Orthodox,"Apr 16, 1976",1652f3213655b935
Dan Barrera,"5' 9""",--,Orthodox,"Dec 23, 1980",f12f979b657ab876
Carlos Barreto,"6' 4""",--,Orthodox,--,a220be6d41d6f97d
Jose Barreto,--,--,Southpaw,--,c32eab6c2119e989
Peter Barrett,"5' 10""","73""",Southpaw,"Aug 10, 1986",d21113c9ff3788ae
Marc-Andre Barriault,"6' 1""","74""",Orthodox,"Feb 18, 1990",8e9eb3fc86db0f7d
David Barrios,"5' 6""",--,,--,e6015889f50075d2
Alexandre Barros,"5' 9""",--,Southpaw,"Nov 19, 1976",8fd1f27e86661ede
Ricardo Barros,"6' 1""",--,,"Mar 22, 1976",d26394fc0e8e880a
Francimar Barroso,"6' 1""","75""",Orthodox,"Feb 28, 1980",b69f24c500d783e7
Pat Barry,"5' 11""","74""",Orthodox,"Jul 07, 1979",658c3465581ae46b
Dean Barry,"5' 10""","72""",Orthodox,"Jul 03, 1992",a6f3d15cb84334bb
Enrique Barzola,"5' 7""","70""",Orthodox,"Apr 28, 1989",be0b310a12eb80b4
Javid Basharat,"5' 9""","69""",Orthodox,"Sep 07, 1995",bbab3baf66128ae2
Farid Basharat,"5' 8""","71""",Orthodox,"Aug 02, 1997",a09ed60aa67a3f67
Stephen Bass,"5' 9""",--,Orthodox,"Nov 14, 1982",1cecc8fe6748a532
Sean Bassett,--,--,,--,2c733e059462c1dc
Ryan Bastianelli,"5' 5""",--,,--,29508aff4d93cbbe
Shayna Baszler,"5' 7""",--,Orthodox,"Aug 08, 1980",8ef4a91ac694b7ce
Michel Batista,"6' 3""",--,Orthodox,"Apr 20, 1984",34218661c44ed55d
Bryan Battle,"6' 1""","77""",Orthodox,"Sep 21, 1994",f626118b6da0e020
Alan Baudot,"6' 3""","79""",Orthodox,"Feb 01, 1988",c9a94278df042f46
Mario Bautista,"5' 9""","69""",Switch,"Jul 01, 1993",bc711b6dd95c1af6
Chris Beal,"5' 7""","69""",Orthodox,"Aug 06, 1985",55f446032177b119
Donovan Beard,"6' 2""","78""",Orthodox,"Nov 05, 1989",3a6ac598320ca7f2
Rudy Bears,"5' 11""",--,Southpaw,--,74f13066b1417ef3
Salvador Becerra,"5' 9""",--,,--,4fd76e7ba8313457
Ariel Beck,"5' 6""","66""",Southpaw,"Sep 16, 1990",b96939f2b8d88e82
Jeff Bedard,"5' 6""",--,Orthodox,"Feb 06, 1970",93bf96be327fcd98
Eric Bedard,"6' 2""",--,,"Sep 11, 1984",ce05955c26c3c090
Johnny Bedford,"5' 10""","71""",Orthodox,"Jan 06, 1983",ffc3e6daaa6da0b7
Rolando Bedoya,"5' 11""","74""",Orthodox,"Jan 13, 1997",40a456a25d52ee65
Chase Beebe,"5' 7""","67""",Orthodox,"Mar 29, 1985",b16a7e6a627e9789
Lyle Beerbohm,"5' 10""",--,Southpaw,"Feb 05, 1979",babc6b5745335f18
Allan Begosso,"5' 5""","66""",Orthodox,"Nov 23, 1995",d6ed764f8b78d32a
Mirsad Bektic,"5' 8""","70""",Orthodox,"Feb 16, 1991",cbd3e590a85b18c5
Diana Belbita,"5' 7""","68""",Orthodox,"Jun 26, 1996",d7e40dca3ae125be
Alan Belcher,"6' 2""","75""",Orthodox,"Apr 24, 1984",4130a743d9d22163
Vitor Belfort,"6' 0""","74""",Southpaw,"Apr 01, 1977",0ee783aa00e468f0
Yousri Belgaroui,"6' 5""","79""",Orthodox,"Jul 07, 1987",7674b836ce0698a0
Rodolfo Bellato,"6' 3""","75""",Orthodox,"Feb 05, 1996",69898645d600abdb
Danilo Belluardo,"6' 0""","74""",Southpaw,"Jul 21, 1994",c3f6db17cea09ca7
Joey Beltran,"6' 1""","75""",Orthodox,"Dec 08, 1981",46baf0f57edfa4df
Marco Beltran,"5' 8""","69""",Orthodox,"May 18, 1986",ec71a892fada28c7
Joseph Benavidez,"5' 4""","65""",Southpaw,"Jul 31, 1984",80eacd4da0617c57
Mike Bencic,"6' 0""",--,Orthodox,--,a71feb7ea7592a71
Dave Beneteau,"6' 2""",--,Orthodox,--,9fd1f08dd4aec14a
Karla Benitez,"5' 3""",--,,--,6104730621ff318d
Gabriel Benitez,"5' 8""","71""",Southpaw,"Jun 15, 1988",436f970c9ea9169c
Charles Bennett,"5' 8""",--,Orthodox,"Nov 23, 1979",8dc4f34c1f50d00d
Josh Bennett,"6' 4""",--,Orthodox,--,c3ac8d0da7b05772
DeAnna Bennett,"5' 4""","68""",Orthodox,"Nov 18, 1984",404ecb2700844072
Lance Benoist,"5' 11""","72""",Southpaw,"Aug 26, 1988",5431dccc09118234
Joe Benoit,"5' 9""",--,Orthodox,"Mar 12, 1982",a30f6d375dea5f9b
Ryan Benoit,"5' 5""","68""",Orthodox,"Aug 25, 1989",20999e27ddd94bda
Pat Benson,"5' 9""",--,,--,a25f3dc0df974597
Len Bentley,"5' 9""",--,,"Nov 30, 1982",592d23aed850e652
Steve Berger,"5' 11""",--,Orthodox,"May 20, 1973",21b1132949f2a9b0
Kenneth Bergh,"6' 2""","74""",Orthodox,"Jun 26, 1989",aa8189053b3a8994
Bret Bergmark,"5' 9""",--,,"Nov 24, 1973",2891c9f7b26b26fc
